name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,11,22,1,Driving Hook Shot,2PT Field Goal,8,Memphis Grizzlies,-38,78,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,10,45,0,Fadeaway Jump Shot,2PT Field Goal,17,Memphis Grizzlies,-158,83,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,7,8,1,Putback Layup Shot,2PT Field Goal,0,Memphis Grizzlies,0,-6,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,6,36,0,Reverse Layup Shot,2PT Field Goal,0,Memphis Grizzlies,3,1,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,5,43,1,Jump Shot,3PT Field Goal,26,Memphis Grizzlies,130,228,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,1,5,4,1,Turnaround Hook Shot,2PT Field Goal,7,Memphis Grizzlies,67,35,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,11,1,0,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,8,Memphis Grizzlies,-82,33,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,9,20,0,Driving Floating Jump Shot,2PT Field Goal,12,Memphis Grizzlies,-99,73,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,7,9,0,Jump Shot,3PT Field Goal,24,Memphis Grizzlies,184,167,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,5,12,0,Turnaround Hook Shot,2PT Field Goal,8,Memphis Grizzlies,-40,76,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,5,4,0,Driving Layup Shot,2PT Field Goal,0,Memphis Grizzlies,-8,2,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,2,1,11,0,Layup Shot,2PT Field Goal,0,Memphis Grizzlies,0,0,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,11,37,0,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,15,Memphis Grizzlies,107,110,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,9,13,0,Driving Layup Shot,2PT Field Goal,5,Memphis Grizzlies,14,55,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,8,48,1,Turnaround Jump Shot,2PT Field Goal,4,Memphis Grizzlies,-36,19,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,7,54,1,Driving Finger Roll Layup Shot,2PT Field Goal,0,Memphis Grizzlies,1,5,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,3,42,1,Jump Shot,2PT Field Goal,12,Memphis Grizzlies,-53,109,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,3,18,0,Floating Jump shot,2PT Field Goal,11,Memphis Grizzlies,62,95,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,3,13,0,Tip Layup Shot,2PT Field Goal,0,Memphis Grizzlies,0,-6,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,3,3,9,0,Driving Layup Shot,2PT Field Goal,0,Memphis Grizzlies,0,-1,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,4,9,31,1,Alley Oop Layup shot,2PT Field Goal,0,Memphis Grizzlies,7,5,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,4,7,39,0,Pullup Jump shot,2PT Field Goal,15,Memphis Grizzlies,-100,113,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/18/17,2017,6583,1610612740,400974704,4,6,12,1,Layup Shot,2PT Field Goal,1,Memphis Grizzlies,7,15,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,1,9,42,0,Jump Shot,2PT Field Goal,16,Los Angeles Lakers,-3,165,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,1,5,8,1,Pullup Jump shot,2PT Field Goal,18,Los Angeles Lakers,109,147,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,1,3,43,0,Jump Shot,3PT Field Goal,24,Los Angeles Lakers,65,239,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,1,3,21,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,3,8,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,1,2,32,1,Driving Layup Shot,2PT Field Goal,3,Los Angeles Lakers,-24,26,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,2,6,12,1,Reverse Layup Shot,2PT Field Goal,1,Los Angeles Lakers,3,10,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,2,5,22,0,Pullup Jump shot,2PT Field Goal,13,Los Angeles Lakers,-96,96,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,2,4,56,1,Step Back Jump shot,2PT Field Goal,0,Los Angeles Lakers,-7,6,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,2,4,39,0,Jump Shot,3PT Field Goal,25,Los Angeles Lakers,-117,223,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,2,1,33,0,Driving Floating Jump Shot,2PT Field Goal,13,Los Angeles Lakers,-98,89,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,11,45,1,Jump Shot,3PT Field Goal,25,Los Angeles Lakers,126,216,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,11,22,1,Running Layup Shot,2PT Field Goal,0,Los Angeles Lakers,-3,9,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,10,19,1,Tip Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,-6,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,9,21,1,Cutting Dunk Shot,2PT Field Goal,1,Los Angeles Lakers,-5,13,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,7,21,0,Jump Shot,3PT Field Goal,25,Los Angeles Lakers,68,246,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,5,40,0,Jump Shot,2PT Field Goal,21,Los Angeles Lakers,94,190,0,0,,0,0
Anthony Davis,New Orleans Pelicans,10/22/17,2017,6583,1610612740,400974791,3,3,39,0,Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-9,13,0,0,,0,0
